t,u,v,r,num_contours,threshold
10948.483228683472,231,201,42.1,16,86.0
10980.123281478882,233,201,42.09,16,86.0
11013.177156448364,234,202,42.08,8,86.0
11046.247243881226,236,204,42.07,15,86.0
11079.255104064941,236,206,41.95,14,86.0
11112.224102020264,235,206,41.79,13,86.0
11146.064281463623,234,205,41.84,15,86.0
11178.502321243286,233,205,41.88,14,86.0
11211.490154266357,234,207,41.94,12,86.0
11244.533061981201,235,208,41.92,10,86.0
11277.249097824097,234,209,41.93,14,86.0
11310.51230430603,232,211,41.96,11,86.0
11345.18313407898,230,213,42.04,10,86.0
11376.06930732727,229,215,42.05,9,86.0
11408.822059631348,226,216,42.09,8,86.0
11443.406105041504,225,218,42.19,13,86.0
11476.974248886108,225,220,42.15,10,86.0
11508.864164352417,224,220,42.15,10,86.0
11544.342041015625,223,221,42.25,9,86.0
11574.608325958252,223,222,42.28,12,86.0
11607.008218765259,223,222,42.25,9,86.0
11640.484094619751,221,222,42.34,9,86.0
11673.569202423096,221,223,42.4,8,86.0
11706.560134887695,222,225,42.34,10,86.0
11740.395069122314,221,225,42.33,15,86.0
11772.192001342773,219,224,42.4,10,86.0
11804.644107818604,218,224,42.46,16,86.0
11838.839054107666,217,225,42.56,10,86.0
11871.867179870605,217,228,42.69,12,86.0
11905.264139175415,216,231,42.73,11,86.0
11937.281131744385,214,235,42.88,15,86.0
11969.255924224854,210,239,42.95,10,86.0
12003.652095794678,207,243,43.07,10,85.0
12036.44323348999,204,249,43.34,7,86.0
12070.350170135498,201,255,43.59,12,86.0
12102.827072143555,197,260,43.88,13,85.0
12136.661052703857,192,265,44.26,11,86.0
12168.772220611572,186,268,44.8,12,86.0
12199.229955673218,178,271,45.44,12,86.0
12232.311248779297,170,275,46.26,14,86.0
12266.156196594238,165,281,47.07,9,86.0
12331.465005874634,160,288,48.11,9,86.0
12365.309000015259,154,295,49.23,10,86.0
12397.946119308472,147,303,50.85,7,86.0
12431.040048599243,141,315,52.68,3,86.0
12464.076042175293,135,330,54.41,3,85.0
12497.21908569336,125,344,56.35,1,85.0
12530.446290969849,110,359,58.69,1,85.0
12564.712047576904,98,379,61.15,1,85.0
12596.514225006104,84,400,63.65,1,85.0
12629.337072372437,70,419,64.96,3,86.0
12662.718057632446,63,431,59.49,4,86.0
12694.545269012451,57,441,51.56,4,87.0
12729.175090789795,47,449,42.49,6,89.0
12765.20824432373,330,360,216.26,297,145.0
12796.59914970398,333,355,220.89,302,146.0
12829.98514175415,333,351,225.17,313,147.0
12862.44511604309,332,350,226.44,285,147.0
12896.314144134521,333,350,224.89,264,147.0
12927.850008010864,333,352,223.5,252,147.0
12962.684154510498,333,352,223.35,259,147.0
12993.977308273315,334,352,223.89,239,147.0
13028.91492843628,333,353,222.79,242,147.0
13060.497283935547,333,351,223.66,226,147.0
13095.194101333618,334,352,223.3,246,147.0
13126.77025794983,332,353,222.23,228,147.0
13162.24718093872,334,352,223.29,273,147.0
13191.76721572876,334,353,222.93,250,147.0
13225.208282470703,333,353,222.56,232,147.0
13257.663011550903,334,353,222.32,223,147.0
13291.600227355957,331,354,222.84,201,147.0
13324.660062789917,332,352,223.48,184,147.0
13357.747077941895,332,353,223.0,186,147.0
